Open,High,Low,Close
126.98,127.61,125.74,126.70
126.70,129.27,126.49,129.05
129.05,129.33,128.34,128.72
128.81,129.74,128.18,129.67
129.67,130.32,129.47,130.21
130.21,130.81,129.89,130.65
130.65,130.71,129.48,129.87
129.87,130.31,129.22,129.35
129.35,130.28,129.30,130.22
130.22,130.50,129.74,130.03
130.03,130.07,128.78,129.62
129.62,130.26,129.58,130.21
130.26,130.51,129.55,130.18
130.18,130.49,129.51,129.67
129.67,130.31,129.64,130.00
130.00,130.55,129.69,130.17
130.17,130.33,129.10,129.11
129.11,129.17,128.46,128.69
128.69,129.04,128.02,128.19
128.19,128.94,128.10,128.32
128.32,128.70,127.73,128.36
128.36,128.79,127.25,127.43
127.43,127.65,126.10,126.31
126.31,126.86,125.81,126.75
126.71,126.97,125.08,126.41
126.41,127.39,126.20,127.25
127.23,127.57,127.09,127.32
127.30,128.07,126.50,127.98
127.98,128.15,127.61,127.88
127.88,128.00,127.87,127.87
