Open,High,Low,Close,Moving Average 50
282.44,283.04,281.49,281.59,281.06
276.48,278.04,275.34,277.65,281.07
277.65,277.81,276,276.88,281.08
276.87,277.07,274.11,274.18,281.04
274.18,274.37,272.55,272.88,280.96
272.88,273.9,272.14,273.61,280.89
273.61,273.86,272.8,272.96,280.79
272.96,273.5,272.02,273.41,280.72
273.41,274.62,273.21,274.47,280.63
274.49,275,273.72,274.02,280.52
274.02,275.69,273.56,274.93,280.46
274.93,275.13,273.24,273.49,280.38
273.49,274.81,272.58,274.29,280.33
274.29,275.51,272.5,273.17,280.24
278.38,278.9,277.05,277.81,280.23
277.81,278.22,276.91,277.7,280.2
277.74,278.67,277.45,277.59,280.16
277.63,278.64,277.26,278.25,280.18
278.25,279.05,278.18,278.68,280.21
278.67,279.15,278.38,278.86,280.23
278.86,279.3,278.32,278.59,280.25
278.59,279.24,278.22,279.22,280.28
279.22,279.5,278.82,279.24,280.3
279.24,279.51,278.96,279.24,280.3
279.24,280.24,279.24,279.99,280.32
280,280.38,279.71,279.98,280.21
279.98,281,279.07,279.17,280.12
280.46,282.38,280.15,281.52,280.08
281.52,282.61,281.02,282.44,280.08
282.44,283.94,282.4,283.28,280.07
283.29,283.4,282.66,283.25,280.07
283.25,283.31,281.8,282.29,280.03
282.31,283.12,282.08,283.03,280.01
283.03,283.12,278.88,281.01,279.95
281.03,282.01,279.67,280.3,279.89
280.3,281.03,279.06,279.88,279.81
279.88,280.79,278.75,280.59,279.73
280.58,281.53,280.21,281.33,279.62
281.32,281.42,279.25,279.95,279.56
279.94,280.69,279.03,279.08,279.46
280.69,281.29,278.77,278.86,279.34
278.89,280.91,278.81,279.46,279.22
279.46,280.39,279.21,279.59,279.09
279.59,279.66,278.5,279.14,278.97
279.14,279.73,278.68,279.35,278.85
279.35,280.41,279.06,280,278.76
280,280.52,279.75,280.22,278.66
280.21,280.32,279.78,280.31,278.62
280.31,281.56,280.08,281.52,278.61
281.52,281.95,281.24,281.64,278.6
281.64,282.52,281.54,282.21,278.61
282.21,282.93,281.81,282.92,278.72
282.92,283.7,282.48,282.89,278.84
285.02,285.75,284.62,285.52,279.06
285.52,286.29,285.16,285.85,279.32
285.84,286.41,285.5,285.69,279.56
285.68,286.67,285.42,286.62,279.84
286.62,287.21,286.5,286.91,280.11
286.91,287,286.42,286.7,280.35
286.7,287.35,286.7,287.07,280.61
287.07,287.09,286.17,286.54,280.84
286.54,286.71,286.1,286.52,281.11
286.51,287.13,286.51,286.86,281.36
286.86,287.6,286.77,287.36,281.64
287.36,287.9,287.26,287.52,281.83
287.52,288.27,287.04,287.11,282.02
291,291.4,289.45,289.48,282.26
289.48,289.99,288.53,288.83,282.47
288.84,288.95,285.62,285.82,282.61
285.84,287.44,285.58,287.27,282.78
287.27,287.79,286.51,286.81,282.95
286.84,287.46,285.7,286.41,283.09
286.41,287.52,286.19,287.31,283.25
287.32,287.64,287.04,287.41,283.42
287.42,288.02,287,287.45,283.57
287.45,288.36,287.45,288.09,283.73
288.09,288.33,287.07,287.35,283.89
287.35,288.09,286.8,287.54,284.01
287.54,287.69,285.4,285.77,284.08
291.59,292.04,290.41,291.98,284.25
291.98,292.1,290.8,292.08,284.43
292.08,292.67,291.76,292.39,284.63
292.39,292.97,291.91,292.78,284.83
292.78,293.14,292.28,292.89,285.06
292.88,293.66,292.88,293.59,285.33
293.59,294.37,293.58,293.94,285.61
293.95,294.58,293.95,294.01,285.88
294,294.1,293.38,293.69,286.13
293.69,294.07,292.51,293.42,286.39
293.42,294.12,293.02,293.97,286.69
293.99,294.87,293.87,294.79,287.01
294.8,294.88,293.08,293.19,287.29
291.69,291.73,289.58,291.24,287.52
291.24,292.15,290.62,292.02,287.78
292.01,292.24,290.58,291.04,288.01
291.04,291.91,290.77,290.8,288.23
290.79,291.32,289.55,289.6,288.41
289.59,289.68,288.78,289.2,288.59
289.2,290.13,288.59,289.98,288.76
289.96,290.42,289.33,289.76,288.92
289.76,289.96,289.11,289.22,289.06
289.21,289.95,288.86,289.72,289.2
289.71,290.21,288.95,289.33,289.33
289.33,290.9,289.12,290.56,289.43
290.55,291.18,289.58,290.38,289.52
285.16,286.04,284.42,285.07,289.51
285.08,285.96,284.16,285.09,289.48
285.09,285.7,284.58,285.08,289.44
285.07,285.09,283.87,283.88,289.38
283.88,283.96,282.41,282.72,289.3
282.72,283.02,281.96,282.32,289.21
282.33,282.7,281.61,282.31,289.13
282.31,282.77,281.57,282.14,289.03
282.15,282.44,281.52,281.95,288.93
281.96,282.84,281.57,282.73,288.83
282.72,282.74,282.03,282.55,288.74
282.56,283.4,282.25,282.72,288.6
282.72,282.94,281.63,282.73,288.48
280.46,280.97,279.13,280.57,288.38
280.57,282.11,280.44,281.12,288.25
281.12,281.55,280.63,280.69,288.13
280.7,281.73,280.53,280.96,288.02
280.98,281.88,280.76,281.42,287.9
281.42,281.95,281.29,281.88,287.79
281.89,282.05,280.91,281.09,287.67
281.1,281.28,280.2,280.8,287.52
280.8,281.49,280.8,281.46,287.4
281.44,281.82,281.19,281.53,287.28
281.55,282.61,281.11,282.48,287.22
282.47,283.4,282.26,283.27,287.04
283.28,283.9,283.05,283.68,286.87
286.66,288.16,286.26,288.15,286.79
288.16,288.47,287.37,287.51,286.68
287.5,288.05,287.35,287.96,286.59
287.97,288.61,287.83,288.52,286.48
288.52,288.96,288.5,288.86,286.38
288.87,289.24,288.71,288.78,286.28
288.79,288.95,288.3,288.4,286.17
288.41,288.61,288,288.5,286.07
288.51,288.95,288.48,288.74,285.97
288.74,289.16,288.54,289.03,285.85
289.04,289.25,288.46,289.23,285.78
289.23,289.23,286.91,287.17,285.69
287.17,287.41,285.75,286.2,285.58
288.01,288.46,285.83,286.36,285.48
286.33,286.61,285.06,286.46,285.4
286.47,287.86,286.33,287.17,285.35
287.17,287.58,285.72,286.37,285.29
286.38,286.82,285.53,286.12,285.21
286.1,286.7,285.85,286.51,285.15
286.51,287.05,286.41,286.64,285.1
286.64,286.81,285.97,286.73,285.04
286.73,287.42,286.66,287.01,284.99
287.01,287.01,285.92,286.03,284.9
286.03,286.8,285.74,286.26,284.82
286.25,286.58,285.97,286.12,284.84
286.12,286.12,283.78,284.29,284.82
287.79,288.96,287.58,288.63,284.89
288.63,288.73,287.22,288.02,284.98
288.02,288.63,287.39,287.62,285.08
287.61,288.68,287.58,288.52,285.2
288.53,289.72,288.31,289.44,285.34
289.44,289.78,289.16,289.45,285.49
289.46,289.54,288.78,289.25,285.63
289.25,289.57,288.91,288.97,285.76
288.97,289.31,288.51,288.82,285.88
288.82,289,288.02,288.32,286
288.32,288.51,287.62,288.06,286.1
288.06,288.45,287.14,287.88,286.25
287.9,287.98,287.13,287.67,286.38
291.05,291.37,289.86,290.8,286.58
290.79,291.53,290.79,291.08,286.78
291.08,291.39,290.54,290.84,286.97
290.83,291.64,290.43,291.49,287.17
291.49,291.85,291.45,291.73,287.38
291.73,291.99,291.49,291.67,287.6
291.67,292,291.66,291.95,287.81
291.95,292.05,291.34,291.46,288
291.46,291.6,290.76,291.11,288.18
291.11,291.63,290.79,291.55,288.34
291.55,291.75,291.16,291.66,288.5
291.67,292.14,291.49,291.94,288.58
291.94,292.95,291.85,292.46,288.68
290.37,291.21,289.88,290.45,288.73
290.45,291.29,290.38,290.9,288.77
290.9,291.41,290.55,290.88,288.81
290.88,291.75,290.82,291.74,288.87
291.74,292,291.7,291.95,288.94
291.93,292.77,291.71,292.73,289.03
292.73,293.11,292.61,292.98,289.11
292.98,293.81,292.77,293.68,289.21
293.68,294,293.34,293.36,289.29
293.35,293.48,292.71,292.88,289.4
292.88,293.74,292.81,293.49,289.55
293.5,294,293.2,293.4,289.69
293.41,293.59,292.5,292.62,289.81
293.75,294.24,291.54,292.28,289.92
292.28,292.69,291.85,292.03,290.03
292.04,292.77,291.61,292.53,290.16
292.54,293.13,292.28,292.69,290.28
292.68,292.95,291.95,292.51,290.4
292.52,292.63,292,292.49,290.51
292.48,292.64,292.17,292.51,290.62
292.5,292.56,290.5,290.8,290.72
290.8,291.49,290.67,291.48,290.82
291.48,291.56,290.28,290.85,290.92
290.84,291.27,290.24,291.04,291.05
291.04,291.12,289.56,289.63,291.07
289.64,289.89,286.55,286.61,291.04
285.95,286.38,283.64,284.85,290.99
284.84,286.48,284.73,286.32,290.95
286.33,287.19,284.57,284.75,290.85
284.76,285.39,283.25,283.99,290.74
283.98,284.27,281.18,281.87,290.59
281.87,282.27,279.61,281.14,290.44
281.15,281.94,280.73,281.73,290.3
281.73,282.07,280.43,281.42,290.16
281.42,281.69,280.62,280.78,290.01
280.79,281.83,280.16,280.71,289.87
280.71,280.91,279.67,279.67,289.71
279.67,281.25,278.97,279.82,289.49
279.82,282.09,279.48,281.67,289.3
278.84,279.78,276.61,276.89,289.02
276.89,278.28,276.37,277.31,288.74
277.3,280.62,277.29,279.87,288.5
279.87,281.62,279.65,279.92,288.27
279.92,280.8,279.02,279.77,288.02
