Open,High,Low,Close,next open,next close
118.15,118.24,118.01,118.12,118.12,118.32
118.12,118.35,118.03,118.32,118.32,118.39
118.32,118.41,118.12,118.39,118.39,118.39
118.39,118.46,118.21,118.39,118.41,118.92
118.41,118.97,118.41,118.92,118.92,118.61
118.92,119.16,118.54,118.61,118.61,118.83
118.61,119.00,118.52,118.83,118.83,119.12
118.83,119.27,118.77,119.12,119.12,119.40
119.12,119.47,119.08,119.40,119.40,119.61
119.40,119.78,119.25,119.61,119.61,119.88
119.61,119.91,119.59,119.88,119.88,120.03
119.88,120.11,119.84,120.03,120.03,120.22
120.03,120.30,119.92,120.22,120.23,120.85
120.23,120.95,120.06,120.85,120.85,121.12
120.85,121.21,120.73,121.12,121.12,121.83
121.12,121.92,121.10,121.83,121.83,121.95
121.83,122.02,121.43,121.95,121.96,121.40
121.96,122.23,121.39,121.40,123.67,121.25
123.67,123.67,120.95,121.25,121.25,121.36
121.25,121.57,120.39,121.36,121.36,121.67
121.36,122.22,120.84,121.67,121.67,120.71
121.67,122.02,120.69,120.71,120.71,121.79
120.71,122.00,120.02,121.79,121.74,120.23
121.74,121.87,119.65,120.23,120.23,119.79
120.23,120.74,119.55,119.79,119.82,119.44
119.82,120.09,118.93,119.44,119.48,120.18
119.48,120.75,119.47,120.18,120.18,119.56
120.18,120.63,119.50,119.56,119.56,119.76
119.56,120.19,118.62,119.76,119.73,119.61
119.73,120.15,119.23,119.61,119.61,119.12
119.61,120.08,119.00,119.12,119.12,118.58
119.12,119.53,118.42,118.58,118.58,118.53
118.58,118.72,117.92,118.53,118.54,118.25
118.54,118.71,117.84,118.25,118.25,118.46
118.25,118.98,118.18,118.46,118.46,118.81
118.46,118.87,118.23,118.81,118.81,118.50
118.81,119.04,118.41,118.50,118.50,118.48
118.50,119.14,118.14,118.48,118.48,119.16
118.48,119.20,118.38,119.16,119.16,118.81
119.16,119.20,118.71,118.81,118.82,118.59
118.82,118.89,117.98,118.59,118.59,119.35
118.59,119.40,118.32,119.35,119.34,119.61
119.34,119.82,119.25,119.61,119.61,120.10
119.61,120.13,119.48,120.10,120.10,120.20
120.10,120.64,119.93,120.20,120.20,121.23
120.20,121.23,120.12,121.23,121.23,120.56
121.23,121.37,120.53,120.56,120.57,120.89
120.57,121.14,120.57,120.89,120.89,120.16
120.89,120.92,120.12,120.16,120.16,120.29
120.16,120.38,119.83,120.29,120.30,120.22
120.30,120.67,120.07,120.22,120.22,119.25
120.22,120.35,119.25,119.25,119.25,118.09
119.25,119.42,117.82,118.09,118.10,117.89
118.10,118.68,117.59,117.89,117.89,117.39
117.89,118.38,117.02,117.39,117.37,118.23
117.37,118.52,117.22,118.23,118.23,117.65
118.23,118.23,116.40,117.65,118.24,118.50
118.24,119.33,117.65,118.50,118.50,118.50
118.50,118.87,118.04,118.50,118.50,119.37
118.50,119.99,118.50,119.37,119.37,119.48
119.37,120.13,119.09,119.48,119.48,119.55
119.48,119.84,118.97,119.55,119.53,118.43
119.53,119.60,118.41,118.43,118.42,118.63
118.42,118.85,118.10,118.63,118.63,117.11
118.63,118.68,116.74,117.11,117.12,116.88
117.12,117.19,116.41,116.88,116.90,116.62
116.90,117.44,116.47,116.62,116.62,116.45
116.62,116.90,115.65,116.45,116.45,117.40
116.45,117.46,116.19,117.40,117.40,117.78
117.40,117.87,117.38,117.78,117.78,117.91
117.78,118.25,117.75,117.91,117.89,117.97
117.89,118.15,117.70,117.97,117.97,117.78
117.97,118.15,117.40,117.78,117.79,118.61
117.79,118.88,117.78,118.61,118.61,118.51
118.61,118.77,118.32,118.51,118.51,118.09
118.51,118.64,118.04,118.09,118.09,118.09
118.09,118.16,117.72,118.09,118.09,117.87
118.09,118.20,117.47,117.87,117.87,117.52
117.87,117.87,117.38,117.52,117.52,118.10
117.52,118.14,117.45,118.10,118.10,117.62
118.10,118.24,117.50,117.62,117.62,117.29
117.62,117.76,117.11,117.29,117.29,116.99
117.29,117.50,116.81,116.99,116.99,116.42
116.99,117.08,116.38,116.42,116.48,117.00
116.48,117.25,116.40,117.00,117.00,117.28
117.00,117.33,116.69,117.28,117.28,117.17
117.28,117.32,116.68,117.17,117.21,117.64
117.21,117.72,116.83,117.64,117.63,117.40
117.63,117.73,117.31,117.40,117.41,117.41
117.41,117.80,117.21,117.41,117.41,117.85
117.41,117.88,117.41,117.85,117.85,118.34
117.85,118.77,117.75,118.34,118.34,117.65
118.34,118.57,117.59,117.65,117.67,118.26
117.67,118.28,117.63,118.26,118.26,118.97
118.26,119.01,118.20,118.97,119.00,118.82
119.00,119.37,118.68,118.82,118.29,117.76
118.29,118.34,116.85,117.76,117.76,118.87
117.76,119.12,117.62,118.87,118.90,118.34
118.90,119.24,117.83,118.34,118.34,117.87
118.34,118.70,117.41,117.87,117.87,116.01
117.87,117.92,115.94,116.01,116.01,117.35
116.01,117.38,115.94,117.35,117.35,117.58
117.35,118.02,117.33,117.58,117.65,118.16
117.65,118.39,117.51,118.16,118.18,117.29
118.18,118.32,117.13,117.29,117.30,117.29
117.30,117.73,116.44,117.29,117.29,117.72
117.29,117.84,117.06,117.72,117.72,117.33
117.72,117.80,116.96,117.33,117.33,117.56
117.33,117.69,116.98,117.56,117.56,117.22
117.56,117.60,117.00,117.22,117.22,116.62
117.22,117.26,116.54,116.62,116.62,114.74
116.62,116.66,114.72,114.74,114.74,114.59
114.74,115.34,114.50,114.59,114.59,114.15
114.59,115.11,113.81,114.15,114.15,112.73
114.15,114.40,112.51,112.73,112.73,113.22
112.73,113.59,112.63,113.22,113.22,113.30
113.22,113.35,112.04,113.30,113.30,113.85
113.30,114.26,113.11,113.85,113.85,113.13
113.85,114.13,113.01,113.13,113.13,112.63
113.13,113.30,112.08,112.63,112.63,111.46
112.63,112.85,111.08,111.46,111.46,109.64
111.46,111.53,109.59,109.64,109.64,110.50
109.64,110.64,109.45,110.50,110.50,109.06
110.50,110.59,108.67,109.06,109.06,108.92
109.06,109.08,107.57,108.92,108.92,109.57
108.92,109.82,108.34,109.57,109.55,108.21
109.55,110.22,108.21,108.21,108.21,109.70
108.21,109.75,108.21,109.70,109.70,109.84
109.70,110.30,109.42,109.84,109.84,108.80
109.84,110.15,108.73,108.80,108.80,109.36
108.80,109.65,108.34,109.36,109.34,109.10
109.34,109.84,108.33,109.10,109.12,109.65
109.12,110.04,108.18,109.65,109.65,109.10
109.65,109.90,109.08,109.10,109.09,109.43
109.09,109.62,108.22,109.43,104.21,102.08
104.21,105.06,101.38,102.08,102.06,102.08
102.06,103.09,101.01,102.08,102.08,103.54
102.08,103.69,101.67,103.54,103.54,104.96
103.54,105.15,103.32,104.96,105.03,104.90
105.03,105.08,103.72,104.90,104.90,105.57
104.90,106.01,104.90,105.57,105.57,104.25
105.57,105.81,103.87,104.25,104.25,105.22
104.25,105.47,104.25,105.22,105.22,107.27
105.22,107.30,105.00,107.27,107.27,107.07
107.27,107.50,106.62,107.07,107.07,106.63
107.07,107.33,106.39,106.63,106.66,107.92
106.66,108.16,106.63,107.92,107.92,106.87
107.92,108.04,106.84,106.87,106.89,106.89
106.89,107.92,106.78,106.89,106.89,107.46
106.89,107.50,106.32,107.46,107.47,106.23
107.47,107.53,105.86,106.23,106.24,105.41
106.24,106.58,105.31,105.41,105.43,106.26
105.43,106.34,105.13,106.26,106.26,105.88
106.26,106.38,105.71,105.88,105.88,105.31
105.88,105.98,105.02,105.31,105.31,105.07
105.31,105.50,104.73,105.07,105.07,104.56
105.07,105.73,104.32,104.56,104.50,103.98
104.50,104.60,103.54,103.98,103.98,105.11
103.98,105.17,103.98,105.11,105.11,105.26
105.11,105.30,104.54,105.26,105.27,106.73
105.27,106.74,105.24,106.73,106.71,106.35
106.71,106.73,106.08,106.35,106.35,107.22
106.35,107.43,106.18,107.22,107.22,106.65
107.22,107.40,106.59,106.65,106.65,107.52
106.65,107.53,106.65,107.52,107.52,107.00
107.52,107.54,106.28,107.00,107.02,106.37
107.02,107.17,106.29,106.37,106.37,106.49
106.37,106.67,105.80,106.49,106.49,106.89
106.49,107.13,106.16,106.89,106.89,105.97
106.89,107.35,105.94,105.97,106.00,105.53
106.00,106.39,105.37,105.53,105.51,106.22
105.51,106.45,104.99,106.22,106.20,105.98
106.20,106.50,105.59,105.98,105.98,106.27
105.98,106.46,105.52,106.27,108.66,109.58
108.66,109.70,107.59,109.58,109.58,110.65
109.58,110.71,109.50,110.65,110.65,110.77
110.65,111.04,110.48,110.77,110.78,110.28
110.78,111.25,109.93,110.28,110.28,110.02
110.28,110.70,109.60,110.02,110.02,109.65
110.02,110.60,109.35,109.65,109.65,110.42
109.65,110.42,109.54,110.42,110.42,110.36
110.42,110.68,110.12,110.36,110.36,110.11
110.36,110.59,109.85,110.11,110.10,109.91
110.10,110.24,109.63,109.91,109.91,109.43
109.91,110.07,108.84,109.43,109.43,108.33
109.43,109.46,108.05,108.33,108.33,108.13
108.33,108.78,107.48,108.13,108.13,108.91
108.13,108.99,108.04,108.91,108.90,108.94
108.90,109.22,108.72,108.94,108.96,109.14
108.96,109.34,108.64,109.14,109.16,109.11
109.16,109.58,109.08,109.11,109.12,109.18
109.12,109.47,109.04,109.18,109.16,109.88
109.16,109.99,108.89,109.88,109.90,109.52
109.90,109.94,109.44,109.52,109.52,109.93
109.52,109.97,109.30,109.93,109.93,110.00
109.93,110.28,109.90,110.00,110.00,110.21
110.00,110.32,109.87,110.21,110.22,110.57
110.22,110.61,110.21,110.57,110.58,110.53
110.58,110.59,110.26,110.53,110.53,110.40
110.53,110.61,110.24,110.40,110.40,110.48
110.40,110.54,110.28,110.48,110.47,111.09
110.47,111.25,110.43,111.09,111.09,110.91
111.09,111.19,110.69,110.91,110.91,111.55
110.91,111.66,110.91,111.55,111.55,111.54
111.55,111.83,111.39,111.54,111.55,111.28
111.55,111.57,110.90,111.28,111.29,111.00
111.29,111.49,110.76,111.00,111.00,111.99
111.00,112.21,110.94,111.99,111.98,112.16
111.98,112.30,111.78,112.16,112.15,112.39
112.15,112.50,112.14,112.39,112.38,112.26
112.38,112.55,112.09,112.26,112.26,112.31
112.26,112.50,112.07,112.31,112.32,112.03
112.32,112.32,111.74,112.03,111.08,110.32
111.08,111.54,109.44,110.32,110.32,110.26
110.32,111.00,110.12,110.26,110.26,109.70
110.26,110.26,108.76,109.70,109.70,110.08
109.70,110.40,109.26,110.08,110.08,110.34
110.08,110.58,109.36,110.34,110.34,110.57
110.34,110.78,110.03,110.57,110.56,110.37
110.56,110.90,109.66,110.37,110.40,110.39
110.40,110.74,109.88,110.39,110.44,110.90
110.44,111.06,109.91,110.90,110.87,110.14
110.87,111.01,109.82,110.14,110.11,110.64
110.11,111.25,110.01,110.64,110.68,110.75
110.68,111.02,110.43,110.75,110.78,111.37
110.78,111.49,110.74,111.37,111.35,111.14
111.35,111.71,110.92,111.14,111.12,110.59
111.12,111.20,110.49,110.59,110.59,110.41
110.59,110.61,109.88,110.41,110.41,110.25
110.41,110.77,110.10,110.25,110.23,110.62
110.23,110.85,110.16,110.62,110.62,110.98
110.62,111.02,110.36,110.98,110.98,110.91
110.98,111.21,110.73,110.91,110.91,111.09
110.91,111.21,110.88,111.09,111.09,110.93
111.09,111.32,110.69,110.93,110.95,110.74
110.95,110.98,110.50,110.74,110.74,111.06
110.74,111.31,110.74,111.06,111.08,111.48
111.08,111.51,111.03,111.48,111.48,111.54
111.48,111.59,111.16,111.54,111.53,111.27
111.53,111.70,111.22,111.27,111.28,110.82
111.28,111.32,110.62,110.82,110.82,110.87
110.82,111.05,110.60,110.87,110.86,110.45
110.86,111.14,110.39,110.45,110.45,110.56
110.45,110.62,110.23,110.56,110.55,110.24
110.55,110.69,110.09,110.24,110.24,110.08
110.24,110.53,109.93,110.08,110.09,109.34
110.09,110.19,109.18,109.34,109.35,109.07
109.35,109.58,108.48,109.07,109.04,108.76
109.04,109.32,108.73,108.76,108.76,108.31
108.76,109.20,108.20,108.31,108.31,108.17
108.31,108.73,108.10,108.17,108.18,107.73
108.18,108.18,107.37,107.73,109.70,109.89
109.70,110.40,109.34,109.89,109.90,109.26
109.90,110.19,109.15,109.26,109.24,110.05
109.24,110.21,109.17,110.05,110.04,110.86
110.04,111.02,109.96,110.86,110.83,110.66
110.83,110.83,110.27,110.66,110.67,110.61
110.67,110.97,110.38,110.61,110.66,111.28
110.66,111.32,110.52,111.28,111.28,111.02
111.28,111.40,110.95,111.02,111.02,111.19
111.02,111.34,110.86,111.19,111.19,111.09
111.19,111.25,110.59,111.09,111.09,110.87
111.09,111.30,110.80,110.87,110.88,111.26
110.88,111.26,110.73,111.26,111.26,110.94
111.26,111.27,110.79,110.94,110.95,110.91
110.95,111.16,110.75,110.91,110.93,110.76
110.93,111.14,110.76,110.76,110.76,109.56
110.76,110.76,109.54,109.56,109.57,110.20
109.57,110.24,109.55,110.20,110.22,110.44
110.22,110.58,110.18,110.44,110.44,110.91
110.44,111.04,110.32,110.91,110.89,110.69
110.89,110.96,110.54,110.69,110.68,110.78
110.68,110.88,110.56,110.78,110.78,110.55
110.78,110.94,110.23,110.55,110.54,110.86
110.54,110.99,110.50,110.86,110.86,110.82
110.86,111.00,110.78,110.82,110.82,110.82
110.82,110.90,110.62,110.82,110.81,110.80
110.81,110.94,110.66,110.80,110.81,110.52
110.81,110.85,110.40,110.52,110.57,110.94
110.57,111.12,110.02,110.94,110.95,110.97
110.95,111.30,110.84,110.97,111.02,111.14
111.02,111.21,110.88,111.14,111.13,112.13
111.13,112.27,111.12,112.13,112.12,112.37
112.12,112.61,111.99,112.37,112.35,111.17
112.35,112.47,111.09,111.17,111.17,111.13
111.17,111.39,110.32,111.13,111.14,111.36
111.14,111.66,110.90,111.36,111.37,111.62
111.37,112.10,111.27,111.62,111.64,112.12
111.64,112.28,111.36,112.12,112.13,111.68
112.13,112.19,111.41,111.68,111.69,111.57
111.69,111.73,111.14,111.57,108.88,109.93
108.88,110.56,108.47,109.93,109.95,109.95
109.95,110.64,109.25,109.95,109.96,108.22
109.96,110.20,107.88,108.22,108.25,109.15
108.25,109.25,107.53,109.15,109.13,108.11
109.13,109.15,107.95,108.11,108.10,108.67
108.10,108.73,107.36,108.67,108.68,109.85
108.68,109.93,108.46,109.85,109.85,109.00
109.85,109.90,109.00,109.00,109.01,109.77
109.01,109.81,108.45,109.77,109.76,109.75
109.76,110.19,109.35,109.75,109.76,110.45
109.76,110.56,109.53,110.45,110.47,110.42
110.47,110.90,110.20,110.42,110.40,111.32
110.40,111.45,110.27,111.32,111.34,111.69
111.34,111.84,111.20,111.69,111.69,111.79
111.69,112.25,111.53,111.79,111.76,111.75
111.76,112.50,111.69,111.75,111.78,113.05
111.78,113.36,111.48,113.05,113.03,112.63
113.03,113.20,112.41,112.63,112.64,112.51
112.64,112.99,112.29,112.51,112.51,112.90
112.51,112.96,112.35,112.90,112.90,112.76
112.90,112.95,112.51,112.76,112.76,112.95
112.76,113.07,112.52,112.95,112.96,113.56
112.96,113.71,112.95,113.56,113.58,113.20
113.58,113.73,113.15,113.20,113.21,112.38
113.21,113.32,112.31,112.38,112.39,112.70
112.39,113.02,112.38,112.70,112.69,113.40
112.69,113.42,112.62,113.40,113.40,113.41
113.40,113.54,113.06,113.41,113.40,112.93
113.40,113.40,112.75,112.93,112.93,112.79
112.93,113.01,112.34,112.79,112.80,113.33
112.80,113.38,112.78,113.33,113.32,113.60
113.32,113.85,113.32,113.60,113.70,113.48
113.70,113.78,113.23,113.48,113.48,112.84
113.48,113.75,112.63,112.84,112.83,113.71
112.83,113.77,112.63,113.71,113.72,113.89
113.72,113.91,113.51,113.89,113.89,113.36
113.89,113.97,113.36,113.36,113.36,112.95
113.36,113.59,112.93,112.95,112.95,113.23
112.95,113.54,112.94,113.23,119.39,115.97
119.39,119.50,115.67,115.97,115.97,116.91
115.97,117.64,115.93,116.91,116.91,117.09
116.91,117.33,116.06,117.09,117.09,115.47
117.09,117.17,115.40,115.47,115.47,114.16
115.47,115.62,113.70,114.16,114.16,114.33
114.16,115.05,113.59,114.33,114.33,115.72
114.33,115.76,114.27,115.72,115.71,115.39
115.71,115.71,114.40,115.39,115.41,115.69
115.41,115.71,114.61,115.69,115.69,115.80
115.69,116.27,115.38,115.80,115.81,117.18
115.81,117.24,115.81,117.18,117.20,116.70
117.20,117.24,116.64,116.70,116.71,116.73
116.71,117.10,116.27,116.73,116.74,117.07
116.74,117.12,116.48,117.07,117.09,115.87
117.09,117.09,115.48,115.87,115.87,115.07
115.87,116.07,114.82,115.07,115.10,114.72
115.10,115.37,114.39,114.72,114.71,115.21
114.71,115.25,114.41,115.21,115.15,113.39
115.15,115.15,113.18,113.39,113.40,113.78
113.40,114.19,113.35,113.78,113.77,113.44
113.77,113.97,112.88,113.44,113.44,114.22
113.44,114.50,113.25,114.22,114.23,114.12
114.23,114.62,113.52,114.12,114.14,115.14
114.14,115.19,114.14,115.14,115.13,114.55
115.13,115.33,114.36,114.55,114.58,115.25
114.58,115.30,114.58,115.25,115.28,114.66
115.28,115.40,114.63,114.66,114.67,113.72
114.67,115.15,113.62,113.72,113.70,113.87
113.70,114.19,113.59,113.87,113.88,114.58
113.88,114.64,113.86,114.58,114.55,115.05
114.55,115.26,114.47,115.05,115.05,115.45
115.05,115.78,114.74,115.45,115.43,116.36
115.43,116.53,115.40,116.36,116.33,117.14
116.33,117.42,116.01,117.14,117.13,117.43
117.13,117.67,116.68,117.43,117.42,117.56
117.42,118.00,117.31,117.56,117.55,117.75
117.55,118.12,117.46,117.75,117.75,118.43
