Open,High,Low,Close
127.10,127.52,127.10,127.49
127.50,127.54,127.23,127.28
127.28,127.32,126.95,127.10
127.10,127.13,126.97,127.02
127.00,127.25,126.88,127.08
127.10,127.21,126.99,127.09
127.10,127.14,126.76,126.92
126.92,127.31,126.81,126.97
126.91,126.92,126.42,126.52
126.50,126.60,126.19,126.29
126.29,126.55,126.29,126.31
126.30,126.76,126.17,126.53
126.51,126.67,126.28,126.56
126.56,126.71,126.37,126.50
126.50,126.60,126.23,126.60
126.59,126.67,126.27,126.30
126.30,127.62,126.22,127.57
127.57,127.72,127.26,127.52
129.94,130.44,129.66,130.12
130.12,130.62,130.01,130.20
130.20,130.68,130.20,130.39
130.39,130.75,130.38,130.45
130.45,130.98,130.45,130.88
130.88,131.23,130.88,131.11
131.15,131.54,131.12,131.38
131.38,131.43,130.96,131.02
131.05,131.09,130.65,130.75
130.75,130.75,130.28,130.28
130.28,130.61,130.21,130.60
130.60,130.92,130.57,130.92
130.92,131.11,130.84,130.89
130.89,131.25,130.87,131.08
131.08,131.10,130.73,130.89
130.89,130.94,130.68,130.89
130.89,131.23,130.89,131.17
131.15,131.19,130.84,130.87
130.87,130.87,130.37,130.51
130.47,130.71,130.31,130.71
130.71,131.09,130.69,131.01
131.00,131.21,130.98,131.12
131.12,131.18,130.82,130.98
130.97,131.11,130.78,131.08
131.08,131.13,130.55,130.57
130.57,130.74,130.49,130.55
130.56,130.68,130.26,130.35
130.35,130.59,130.30,130.49
130.49,130.59,130.39,130.49
130.49,130.78,130.49,130.77
130.76,130.94,130.68,130.90
130.90,130.94,130.70,130.76
130.75,130.80,130.51,130.64
130.64,130.80,130.53,130.61
130.61,130.91,130.56,130.91
130.93,131.05,130.77,130.77
130.77,130.90,130.72,130.81
130.81,130.98,130.76,130.98
130.99,131.09,130.85,131.04
131.04,131.34,131.01,131.30
131.30,131.48,131.30,131.41
131.42,131.42,131.26,131.41
131.41,131.63,131.28,131.55
131.54,131.66,131.47,131.65
131.65,131.72,131.53,131.62
131.62,131.80,131.53,131.68
131.67,131.69,131.42,131.54
131.54,131.57,131.32,131.45
131.49,131.74,131.44,131.73
131.73,131.78,131.59,131.65
131.65,131.77,131.57,131.65
131.65,131.75,131.59,131.67
131.66,131.66,131.44,131.52
131.50,131.59,131.31,131.58
131.56,131.64,131.39,131.39
131.40,131.62,131.33,131.58
131.59,131.97,131.57,131.87
131.87,131.96,131.79,131.91
131.91,132.00,131.74,131.95
131.94,131.97,131.81,131.84
131.84,132.02,131.83,132.02
132.02,132.12,131.99,132.09
132.09,132.09,131.92,132.06
132.05,132.06,131.84,131.87
131.87,131.91,131.76,131.79
131.78,132.11,131.77,132.10
132.10,132.11,131.79,131.79
131.79,131.90,131.66,131.78
131.78,131.80,131.56,131.69
131.69,131.95,131.63,131.90
131.90,131.95,131.73,131.93
131.93,132.14,131.89,132.11
132.11,132.17,131.99,132.09
132.09,132.22,132.00,132.13
132.13,132.36,132.13,132.31
132.30,132.32,132.13,132.19
132.22,132.36,131.79,131.86
131.85,131.94,131.56,131.83
133.36,134.08,133.30,133.73
133.73,135.22,133.63,135.00
135.01,135.11,134.39,134.47
134.46,134.99,134.45,134.88
134.88,134.99,133.21,133.21
133.21,133.85,133.17,133.85
133.84,134.04,133.65,133.92
133.90,134.05,132.28,132.32
132.31,133.25,132.11,133.19
133.19,133.59,133.10,133.36
133.36,133.45,132.94,133.07
133.07,133.35,131.60,131.66
131.66,132.44,131.29,132.44
132.44,132.67,132.22,132.48
132.44,133.18,132.14,132.93
132.95,133.42,132.77,133.36
133.36,133.88,133.35,133.67
133.67,133.80,133.37,133.78
133.78,133.81,133.45,133.60
133.60,134.23,133.54,134.19
134.19,134.25,133.83,133.95
133.94,134.06,133.80,133.90
133.92,134.35,133.58,134.33
134.33,134.38,134.00,134.06
134.06,134.28,133.95,134.19
134.21,134.33,134.11,134.20
134.20,134.38,134.04,134.22
134.16,134.25,133.88,133.93
133.93,134.34,133.89,134.30
134.30,134.46,134.09,134.32
134.32,134.51,134.19,134.34
134.34,134.75,134.29,134.58
134.58,134.86,134.58,134.69
134.69,134.75,134.47,134.69
134.69,134.73,134.53,134.64
134.64,134.87,134.61,134.76
134.76,135.30,134.75,135.11
135.11,135.20,134.97,135.02
135.03,135.25,134.93,135.21
135.21,135.34,134.85,134.97
134.97,135.07,134.74,134.95
134.95,134.98,134.68,134.83
134.84,134.88,134.60,134.78
134.78,135.20,134.78,135.14
135.14,135.21,134.95,135.05
135.05,135.17,134.93,135.06
135.09,135.16,134.62,134.70
134.70,135.14,134.70,135.05
135.04,135.23,135.04,135.11
135.13,135.32,135.08,135.31
135.31,135.41,135.14,135.26
135.30,135.37,135.14,135.29
135.30,135.31,135.04,135.24
135.25,135.27,135.01,135.06
135.06,135.07,134.73,134.80
134.80,135.06,134.67,135.05
135.05,135.11,134.70,134.72
134.72,135.24,134.72,135.21
